Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,AvgMonthlySpend,NumServices,StreamingBundleCount,PhoneBundleCount,HasInternet,Is_Electronic_Check,Churn Value
No,Yes,Yes,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.35,1715.15,24.502142857142857,2,0,2,0,0,0
No,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,No,No,Two year,No,Bank transfer (automatic),98.3,6859.5,97.99285714285715,5,2,2,1,0,1
No,Yes,No,0,No,No phone service,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),56.05,,,5,1,0,1,0,0
No,Yes,Yes,68,Yes,No,Fiber optic,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),105.25,7173.15,105.4875,6,2,1,1,0,0
No,No,No,3,Yes,No,DSL,No,No,Yes,No,Month-to-month,Yes,Electronic check,49.15,169.05,56.35,2,0,1,1,1,1
No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.25,6841.4,108.59365079365078,7,2,2,1,0,0
Yes,No,No,8,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),100.3,832.35,104.04375,5,2,1,1,0,1
No,Yes,No,55,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,77.75,4458.15,81.05727272727272,3,0,2,1,1,1
No,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,112.95,1384.75,115.39583333333333,7,2,2,1,0,1
No,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,90.845,4,1,2,1,0,0
No,Yes,No,26,No,No phone service,DSL,Yes,No,Yes,No,One year,No,Credit card (automatic),35.4,978.6,37.63846153846154,2,0,0,1,0,0
Yes,Yes,No,55,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.0,4052.4,73.68,2,0,2,1,1,0
No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.95,137.95,68.975,1,0,1,1,1,1
No,Yes,No,60,Yes,No,Fiber optic,No,Yes,Yes,No,One year,No,Electronic check,90.95,5453.4,90.89,4,1,1,1,1,1
No,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Mailed check,89.85,2165.05,90.21041666666667,4,1,2,1,0,1
No,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.8,1540.35,77.0175,1,0,1,1,0,0
No,No,Yes,40,No,No phone service,DSL,Yes,Yes,No,Yes,One year,No,Mailed check,40.25,1564.05,39.10125,3,0,0,1,0,0
No,Yes,No,54,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),109.75,6110.2,113.15185185185184,7,2,1,1,0,1
